Name,Age,Height_cm,Weight_kg,Preferred_foot,Best_Position,Acceleration,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Defensive_Awareness,Dribbling,Finishing,Free_Kick_Accuracy,Heading_Accuracy,Interceptions,Jumping,Long_Passing,Long_Shots,Penalties,Positioning,Reactions,Short_Passing,Shot_Power,Sliding_Tackle,Sprint_Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,GK_Speed,Weak_Foot,Attacking_Work_Rate,Defensive_Work_Rate,Body_Type,Dribbling_Reflexes,Defending_Pace,Physical_Positioning,Pace_Diving,Passing_Kicking,Shooting_Handling
S. Al Rubaie,27,186,86,Right,CB,63,59,53,53,55,58,31,23,64,26,20,27,71,67,82,57,22,35,27,60,63,34,65,71,66,68,80,29,25,9,6,8,9,8,,2,Medium,Medium,Normal (185+),42,67,72,67,45,25
E. Sanchez,21,177,71,Right,CM,69,63,66,75,65,69,48,49,68,62,65,36,63,64,70,68,69,65,64,70,70,74,62,66,72,61,67,67,54,12,12,12,12,7,,3,High,High,Normal (170-185),65,64,68,67,62,67
G. Makouta,23,180,75,Right,CM,60,52,67,59,71,59,50,52,60,70,67,48,65,61,59,59,69,66,70,70,68,70,59,65,75,64,82,67,58,9,10,7,6,6,,3,High,Medium,Normal (170-185),69,62,73,63,61,68
Y. Rak,27,188,73,Right,CB,55,70,52,53,65,60,45,54,66,49,25,44,65,60,76,50,30,42,30,64,67,48,70,60,64,72,70,42,30,13,15,14,5,14,,3,High,High,Normal (185+),56,67,69,58,53,32
M. Domínguez,21,159,58,Right,CAM,74,61,80,94,68,55,68,63,40,75,55,41,48,23,70,65,56,59,63,64,68,66,45,75,61,41,31,63,54,13,13,8,11,11,,3,High,Medium,Lean (170-),73,38,46,75,65,58
B. Nastic,26,181,75,Left,LWB,70,71,66,67,63,64,66,47,63,59,41,34,55,63,74,65,50,37,53,65,64,66,63,72,74,64,72,57,28,5,6,13,14,14,,3,Medium,Medium,Normal (170-185),62,63,72,71,61,48
R. Benzar,29,180,73,Right,RB,75,67,71,70,59,68,62,66,66,59,51,68,59,66,57,59,54,63,61,64,62,57,64,72,64,67,67,66,49,9,10,6,6,7,,2,High,Medium,Lean (170-185),61,65,66,73,63,54
F. Cassata,23,183,76,Right,CM,62,77,62,60,73,57,62,52,62,68,36,58,29,47,33,70,71,40,57,69,74,55,50,34,63,59,48,69,38,10,7,5,7,10,,3,Medium,Medium,Lean (170-185),68,54,57,47,68,48
S. Lomónaco,22,173,66,Right,LM,80,38,81,79,68,57,58,55,23,73,69,46,59,25,73,53,65,65,65,60,62,71,27,78,62,22,58,55,57,9,10,11,13,12,,3,Medium,Medium,Lean (170-185),71,27,56,79,57,68
J. Gaspar,24,172,58,Right,RB,79,78,85,88,64,57,65,60,58,65,40,37,57,62,83,53,36,37,58,62,61,56,63,82,79,61,55,52,36,13,11,10,8,9,,3,High,Medium,Normal (170-185),67,60,67,81,58,43
Elton Coengo,21,181,75,Right,CM,67,62,43,68,63,70,45,35,64,62,53,38,57,65,60,65,65,42,73,66,71,40,65,70,68,67,65,69,22,13,13,15,16,16,,3,Medium,Medium,Normal (170-185),61,65,65,69,61,52
Freddy Cardouso,21,172,70,Left,CAM,67,40,72,81,66,72,74,76,30,72,52,70,50,58,64,64,60,68,68,71,71,58,36,64,60,37,58,66,50,9,9,15,17,9,,4,Medium,Low,Normal (170-185),71,40,55,65,70,56
Heitor Mutto,29,180,75,Left,CAM,68,55,72,50,69,45,65,53,26,75,66,52,55,22,47,61,64,72,68,63,59,70,23,60,51,21,53,70,62,15,18,10,10,17,,4,Medium,Medium,Normal (170-185),70,26,53,64,62,67
Enzio Julião,25,185,78,Right,ST,69,58,72,57,69,72,37,47,17,66,70,48,65,32,67,51,62,61,72,65,63,58,42,73,71,39,74,68,59,8,13,8,11,9,,3,Medium,Medium,Normal (185+),67,34,70,71,55,65
Claudio Silbeiro,25,182,75,Left,ST,70,66,70,63,63,58,41,47,16,68,72,48,66,44,79,49,67,55,68,62,53,64,48,73,75,38,69,53,72,10,15,13,10,19,,3,Medium,Medium,Lean (170-185),66,36,70,72,49,68
P. Velasco,28,174,76,Right,RB,76,58,73,69,65,57,64,39,65,52,54,42,64,61,59,49,50,46,51,67,64,55,59,74,71,62,64,52,35,14,10,15,15,11,,3,Medium,Medium,Normal (170-185),60,63,64,75,57,52
I. Mathew,24,173,70,Right,CM,78,68,79,82,66,67,60,54,65,67,56,49,49,67,82,66,64,46,60,69,68,69,60,81,86,62,65,63,55,7,14,14,11,14,,3,Medium,Medium,Normal (170-185),69,62,72,80,63,60
J. Molumby,21,176,68,Right,CM,65,74,62,65,70,64,49,46,59,66,48,42,48,65,44,70,51,57,58,69,72,54,58,63,72,65,56,62,45,8,7,10,12,9,,3,Medium,Medium,Lean (170-185),67,61,63,64,62,51
Pol Valentín,24,178,73,Right,RB,91,60,87,70,64,59,63,61,61,65,30,21,48,59,62,57,38,32,66,62,59,55,61,91,75,62,62,54,30,15,8,13,12,14,,3,High,Medium,Normal (170-185),67,60,65,91,57,39
F. Götze,23,185,80,Right,CDM,59,60,67,65,63,65,45,55,65,56,38,48,66,65,74,73,35,33,34,64,69,52,66,63,66,67,73,62,39,13,13,11,12,7,,2,Medium,Medium,Normal (185+),61,66,69,61,62,40
Adrian Dieguez,25,187,78,Left,CB,62,61,57,48,59,55,59,28,67,44,23,32,64,68,80,39,27,41,33,63,60,45,68,58,60,71,69,32,35,11,12,9,13,7,,3,Medium,Medium,Lean (185+),52,68,66,60,48,30
J. Sýkora,27,170,60,Left,LM,81,82,84,83,67,65,66,69,52,68,63,68,52,53,70,59,62,65,61,59,62,69,57,81,67,58,49,64,64,6,7,10,9,13,,3,Medium,Medium,Lean (170-),69,55,61,81,63,64
Kim Jin Ya,23,177,63,Right,LB,84,70,83,76,62,57,64,63,63,67,55,64,47,57,60,53,48,49,65,64,60,55,58,88,92,57,56,63,53,11,13,12,6,11,,4,High,High,Lean (170-185),67,58,68,86,61,54
J. Brown,23,184,72,Right,ST,77,58,74,72,67,64,65,56,37,68,65,47,65,44,82,55,63,58,67,66,63,65,41,75,81,49,69,66,53,6,14,7,6,14,,2,High,High,Lean (170-185),68,45,70,76,62,64
F. Ugrinic,22,184,84,Right,CM,72,62,68,70,68,64,64,61,67,57,60,61,52,67,70,69,69,49,65,65,72,78,63,69,71,67,85,66,52,8,10,15,8,13,,3,Medium,High,Stocky (170-185),63,65,76,70,68,65
M. Thurnwald,22,172,68,Right,RB,84,56,93,84,66,56,65,62,60,68,48,70,56,55,78,58,51,46,51,59,61,59,62,82,87,60,55,49,40,10,13,7,13,12,,3,High,Medium,Lean (170-185),70,59,64,83,59,50
P. Klimala,22,183,77,Right,ST,80,74,72,72,65,57,40,59,20,63,68,32,68,19,70,39,53,58,68,63,58,70,31,83,69,36,73,48,55,14,9,8,7,12,,4,High,High,Normal (170-185),65,31,72,82,48,64
J. Torres,21,170,71,Right,LM,82,55,76,80,60,49,62,52,30,66,63,59,65,16,68,62,59,68,65,65,64,68,36,83,80,38,63,51,59,12,13,12,11,8,,3,Medium,Medium,Normal (170-),65,34,66,83,60,63
H. Mancilla,29,174,80,Right,CDM,62,63,60,67,57,60,59,34,59,47,29,35,62,65,76,71,31,36,33,62,69,49,60,54,92,64,71,54,31,15,14,13,11,10,,3,Medium,Medium,Normal (170-185),54,62,75,58,61,34
K. Denkey,20,181,81,Right,ST,72,37,59,62,70,62,30,45,33,68,69,38,57,18,63,31,65,68,70,65,55,72,12,72,62,12,74,47,61,5,14,13,7,7,,2,Medium,Medium,Stocky (170-185),67,24,63,72,43,68
H. Wingo,25,183,77,Right,RB,88,56,76,78,66,55,64,55,56,62,48,42,51,66,83,57,49,49,51,60,59,71,62,75,77,64,70,55,59,8,9,11,8,12,,3,High,Medium,Normal (170-185),65,61,70,81,58,54
C. Durkin,21,182,75,Right,CM,53,69,50,67,68,66,65,64,69,66,56,60,52,70,76,66,64,50,58,66,69,63,57,63,78,65,63,63,48,11,8,12,9,15,,3,Medium,High,Normal (170-185),65,65,69,59,66,58
J. Williams,21,179,75,Right,RWB,73,54,69,67,64,53,60,42,62,64,38,31,54,64,71,51,36,35,55,64,59,39,63,75,71,69,66,50,28,6,9,5,12,5,,2,Medium,High,Lean (170-185),64,64,65,74,54,38
Erik Expósito,25,190,83,Left,ST,65,25,63,58,65,63,58,41,22,63,69,51,67,29,71,60,59,61,68,65,63,67,23,69,67,26,82,57,60,6,11,10,14,6,,2,High,Medium,Normal (185+),63,29,66,67,59,66
S. Yajima,27,171,67,Right,CM,70,54,70,77,69,63,53,52,56,64,53,55,39,66,70,63,63,64,64,65,72,68,48,69,83,53,60,68,49,14,11,5,9,11,,3,Medium,Medium,Normal (170-185),67,55,65,69,64,59
P. Sontheimer,22,168,65,Right,CM,68,75,83,91,69,66,58,60,61,67,52,40,35,64,61,67,44,49,58,68,71,55,63,62,91,61,45,64,46,6,14,6,8,12,,2,Medium,High,Normal (170-),70,59,63,65,64,51
B. Lasme,22,188,85,Left,ST,75,32,62,35,66,57,36,58,34,64,69,31,61,14,63,50,58,66,63,58,60,73,17,89,65,12,90,57,49,12,14,6,6,14,,3,Medium,Medium,Normal (185+),62,24,71,83,52,66
S. Kaba,26,191,80,Right,ST,63,59,55,63,71,61,49,42,31,62,65,39,69,35,74,47,60,69,66,62,65,75,24,66,69,26,89,66,52,11,9,14,8,14,,3,Medium,Low,Normal (185+),64,33,77,65,57,66
J. Bolingi,27,188,78,Right,ST,69,65,67,65,66,66,63,39,34,65,67,24,73,31,79,44,58,66,67,65,65,64,31,73,78,43,65,62,57,8,14,5,9,9,,3,High,Low,Lean (185+),66,40,69,71,58,64
B. Srarfi,24,176,71,Left,LM,76,66,77,75,70,67,68,66,38,72,58,59,51,55,53,60,63,66,60,61,66,68,53,70,55,58,62,67,60,9,6,13,7,11,,3,Medium,Medium,Lean (170-185),71,50,61,73,65,62
S. Bueno,22,190,76,Right,CB,53,70,44,50,60,67,23,26,70,40,16,38,64,67,68,54,28,42,22,60,60,53,63,52,72,69,75,30,22,5,8,9,13,10,,3,Medium,Medium,Lean (185+),49,68,73,52,43,28
M. Olosunde,23,185,72,Right,RWB,77,62,67,58,63,52,58,41,64,65,42,36,62,62,74,52,24,44,48,64,62,43,65,75,66,67,65,36,40,9,9,12,14,9,,3,High,Medium,Lean (185+),64,64,65,76,52,39
K. Fukai,26,179,80,Right,CM,63,62,61,61,73,62,61,56,59,66,55,39,68,60,75,64,50,40,62,69,72,54,56,69,80,64,80,65,38,6,10,10,5,6,,4,Medium,High,Stocky (170-185),67,61,76,66,65,53
D. Suga,22,171,69,Left,LM,67,44,67,76,66,67,73,65,63,67,57,56,54,55,61,62,54,30,58,64,66,61,48,73,83,58,63,63,58,8,6,10,5,7,,4,High,Medium,Normal (170-185),67,58,64,70,66,56
K. Matsubara,24,182,72,Left,LB,72,69,66,69,68,62,70,45,62,65,61,25,36,60,69,57,56,32,67,55,65,65,64,75,74,66,69,46,24,11,7,12,5,7,,3,High,Medium,Lean (170-185),66,60,70,74,58,58
Y. Kimoto,27,183,73,Right,CB,61,59,52,60,65,61,43,39,67,46,38,33,66,69,69,53,37,38,54,64,65,53,64,49,76,69,72,58,36,11,7,9,13,10,,3,Medium,Medium,Lean (170-185),55,68,70,54,55,42
K. Sekiguchi,35,171,66,Right,CAM,76,62,75,78,68,66,66,61,61,68,58,62,38,65,54,67,62,57,71,63,66,57,60,74,74,66,58,69,44,11,6,7,13,11,,2,High,Medium,Lean (170-185),69,61,63,75,66,59
S. Hanca,29,182,80,Right,RM,78,66,86,86,66,65,61,65,40,64,63,53,61,57,68,59,51,64,62,65,64,66,63,76,70,65,69,67,61,6,9,10,9,5,,3,Medium,High,Normal (170-185),68,55,69,77,63,61
R. Janssen,31,179,80,Left,CB,44,74,52,67,63,68,63,46,63,57,34,35,66,68,68,65,40,41,43,65,63,59,69,40,75,68,74,41,28,11,8,9,12,10,,3,Medium,High,Normal (170-185),60,66,74,42,57,41
N. Bazzana,25,181,77,Right,CB,69,67,62,64,58,55,39,33,67,41,36,32,63,66,74,58,34,40,36,66,60,56,68,35,61,69,75,31,32,15,9,6,13,13,,3,Low,Medium,Normal (170-185),51,67,70,50,47,40
P. Pomykal,21,170,66,Left,CAM,76,58,81,82,66,69,59,63,65,67,53,65,42,49,68,70,63,60,63,65,71,62,53,71,80,58,59,70,56,10,6,13,6,11,,3,High,High,Normal (170-),69,56,65,73,68,58
J. Masson,23,182,76,Left,CDM,59,75,60,58,62,57,46,41,63,55,32,37,61,65,72,64,52,49,33,61,67,58,60,64,83,64,78,58,36,9,10,6,8,11,,2,Medium,Medium,Normal (170-185),58,63,78,62,58,42
B. Baningime,22,178,70,Right,CDM,53,65,64,70,62,69,51,45,66,66,36,47,55,68,63,66,55,48,45,62,68,61,68,55,72,66,58,66,37,9,14,10,12,14,,3,Medium,High,Lean (170-185),65,66,63,54,62,46
D. Sterling,21,180,72,Right,RB,76,64,69,58,61,54,64,48,64,67,50,34,58,66,64,46,42,43,52,61,58,53,66,74,64,64,72,59,29,11,8,8,7,5,,3,Medium,Medium,Normal (170-185),64,64,68,75,56,48
M. Roerslev,22,184,67,Right,RWB,72,60,70,71,61,64,73,53,63,63,32,35,43,60,73,51,40,35,60,63,62,51,57,77,69,63,64,54,37,13,12,14,8,12,,3,Medium,Medium,Lean (170-185),64,60,65,75,59,39
F. Beijmo,23,186,82,Right,RB,73,65,66,65,61,62,62,58,61,58,23,37,58,62,64,55,41,36,42,59,59,66,61,85,85,64,71,36,27,6,6,11,8,6,,3,High,Medium,Normal (185+),60,62,73,80,53,37
J. Pendant,24,177,64,Left,LB,75,59,66,74,52,56,63,43,62,63,32,61,51,64,65,59,34,34,50,59,63,26,64,75,83,67,66,37,30,8,15,14,12,8,,3,Medium,Medium,Normal (170-185),60,63,69,75,56,32
A. Erlingmark,23,189,80,Right,CDM,56,79,61,64,63,59,49,41,68,56,52,33,68,66,60,57,57,44,60,65,65,66,59,69,75,66,73,59,39,10,11,9,14,12,,3,Low,High,Normal (185+),60,66,74,63,57,55
D. Gazdag,25,178,76,Right,CAM,73,65,70,66,68,60,51,61,44,69,62,60,47,60,58,67,63,48,59,68,69,64,49,78,65,53,57,68,59,11,7,5,11,11,,3,High,Medium,Normal (170-185),68,51,61,76,64,62
H. Mendyl,23,179,73,Left,LB,85,80,72,69,62,64,59,57,60,65,36,38,57,64,60,51,44,48,63,66,63,53,63,85,64,61,61,56,33,11,12,14,14,6,,2,High,Medium,Lean (170-185),65,61,66,85,57,43
N. Nartey,21,185,81,Right,CM,69,67,76,77,72,65,64,45,64,73,55,40,60,59,74,64,38,41,62,70,72,51,59,72,74,65,69,68,32,13,9,13,6,12,,3,Medium,Medium,Lean (185+),73,62,70,71,65,49
B. Wilmot,21,188,80,Right,CB,49,67,42,51,55,54,23,28,70,58,16,28,68,70,67,60,32,31,31,68,62,57,65,46,64,67,69,48,28,13,10,11,5,15,,3,Medium,Medium,Normal (185+),55,68,67,47,48,30
Tachi,23,184,82,Right,CB,47,66,32,55,61,52,33,30,63,40,26,28,75,64,68,41,25,30,23,60,68,41,70,60,34,71,65,31,32,11,12,13,15,8,,3,Low,Medium,Normal (170-185),48,68,58,54,46,29
Luis Perea,23,191,83,Right,CDM,50,66,52,49,71,57,49,38,56,66,52,41,68,62,64,70,61,45,59,62,71,59,57,56,65,68,77,61,32,8,15,11,11,9,,3,Medium,Medium,Lean (185+),65,62,71,53,61,54
Renê Santos,29,184,74,Right,CB,54,82,62,66,55,59,40,27,64,52,38,32,57,68,76,54,40,41,42,69,62,62,67,53,74,68,79,49,30,12,12,7,12,14,,2,Medium,High,Normal (170-185),56,66,78,53,51,43
K. Tani,20,187,84,Right,GK,53,20,55,34,10,39,13,10,12,5,5,11,10,13,45,23,8,14,7,61,20,50,12,48,20,10,53,51,9,65,65,67,65,70,51,3,Medium,Medium,Normal (185+),,,,,,
D. Wiebe,27,187,73,Right,RB,54,62,65,63,66,61,62,43,65,63,30,40,58,70,59,66,58,43,36,61,68,60,62,62,81,68,73,63,39,7,6,6,11,7,,3,Medium,Medium,Lean (185+),64,66,72,58,63,43
Song Bum Keun,23,194,88,Right,GK,24,23,31,24,19,58,12,11,23,15,17,13,18,11,31,26,16,15,17,63,14,49,12,27,22,13,40,55,16,68,64,65,67,68,25,2,Medium,Medium,Normal (185+),,,,,,
M. Heider,35,187,82,Right,ST,67,78,69,66,63,73,64,49,50,59,66,56,67,54,83,52,61,67,66,72,59,77,55,77,83,51,79,61,55,10,12,10,8,15,,5,High,High,Normal (185+),63,53,80,73,59,67
K. Gjasula,31,191,84,Right,CDM,34,95,49,40,59,65,40,38,69,50,43,57,67,65,80,52,48,68,48,63,65,67,61,42,76,69,87,59,35,11,11,13,15,5,,4,Low,Medium,Normal (185+),54,67,86,38,55,50
S. Kowalczyk,22,170,60,Right,LM,80,67,89,94,64,62,62,55,45,64,61,60,37,22,43,58,55,59,62,62,64,62,44,80,80,43,32,62,51,9,14,13,8,7,,3,High,Medium,Lean (170-),68,39,52,80,62,59
Alexandre Guedes,27,185,78,Right,ST,62,54,59,43,66,66,57,45,24,64,66,27,69,14,64,66,59,56,67,65,66,72,15,61,57,10,78,53,64,12,13,12,14,10,,3,Medium,Medium,Normal (185+),63,21,67,61,59,65
Matheus Aias,24,175,72,Right,ST,76,45,75,76,69,66,31,41,23,68,69,34,62,14,58,44,63,57,64,68,60,68,19,74,60,32,69,56,59,14,6,6,13,12,,5,Medium,Medium,Normal (170-185),69,27,61,75,49,66
J. Jugas,29,186,79,Right,CB,62,72,53,46,55,60,49,29,67,43,41,28,71,64,66,50,48,41,45,63,57,55,66,63,66,67,82,56,32,6,15,8,11,12,,2,Medium,High,Normal (185+),50,67,75,63,51,45
Ž. Majer,28,180,70,Right,CM,66,70,66,70,70,71,65,61,54,71,57,61,52,61,56,73,65,57,57,64,71,58,50,57,72,53,60,68,45,11,10,15,8,14,,3,Medium,Medium,Lean (170-185),70,55,65,61,69,58
Delmas,26,173,61,Right,RB,70,60,69,61,64,53,68,49,62,63,29,35,60,62,80,47,40,49,63,60,62,39,63,68,76,65,73,45,29,10,15,8,9,7,,2,Medium,Medium,Lean (170-185),63,63,72,69,56,36
S. Çiftpınar,28,183,78,Right,CB,49,49,59,65,51,59,32,22,68,35,23,22,73,68,72,38,16,51,20,67,59,34,70,53,64,73,72,35,23,13,14,11,15,11,,3,Low,High,Normal (170-185),47,70,65,51,42,25
L. Grgic,25,183,84,Left,CDM,66,72,55,62,63,63,55,34,65,63,32,38,61,71,69,60,54,44,48,60,65,56,58,72,83,63,85,64,29,11,10,14,12,6,,3,Medium,Medium,Normal (170-185),62,65,81,69,59,42
B. Țîru,27,185,80,Right,CB,54,67,66,55,51,62,29,26,65,39,28,27,68,66,81,48,44,32,33,62,58,39,66,61,81,68,84,38,23,14,9,6,13,8,,3,High,Low,Normal (185+),48,67,80,58,44,34
K. Nwakali,23,180,76,Right,CM,73,43,74,73,71,52,50,54,39,70,64,55,50,62,52,72,61,56,60,64,69,54,53,69,70,65,65,64,52,14,10,10,12,8,,3,Medium,Medium,Lean (170-185),70,54,61,71,63,60
A. Benchaib,23,181,71,Right,CAM,78,55,80,71,71,72,56,65,28,73,64,62,36,36,76,61,59,58,65,63,66,58,45,74,59,48,60,58,63,14,6,6,6,9,,4,High,Medium,Lean (170-185),72,38,60,76,61,62
Oriol Busquets,22,185,77,Right,CDM,45,61,54,60,67,70,56,46,64,63,36,42,64,67,55,66,47,42,41,64,70,56,61,44,69,63,69,66,37,9,6,5,10,12,,3,Medium,Medium,Lean (185+),64,64,67,44,63,43
K. Dabila,24,183,80,Right,CB,54,67,43,65,58,62,33,38,67,51,25,31,65,69,69,48,27,41,27,60,66,48,70,54,61,71,69,32,32,12,7,15,15,7,,3,Medium,Medium,Normal (170-185),54,69,67,54,47,31
P. Köhn,23,190,80,Right,GK,25,28,33,26,19,32,11,10,12,12,8,14,12,12,41,25,7,16,7,62,25,47,14,30,28,13,63,45,6,69,64,62,65,68,27,2,Medium,Medium,Lean (185+),,,,,,
F. Flecker,25,176,70,Right,RM,89,36,91,80,67,52,64,45,47,68,65,58,38,27,65,51,51,42,56,62,59,62,31,80,82,33,49,58,55,12,7,15,9,8,,3,Medium,Medium,Normal (170-185),70,36,55,84,58,60
M. Meulensteen,21,184,76,Right,CB,68,65,68,72,66,67,58,63,66,61,52,63,62,68,67,64,55,56,58,61,69,66,68,62,77,70,70,63,48,10,5,12,8,14,,3,High,Medium,Normal (170-185),64,67,71,65,64,56
J. Earl,22,193,78,Left,LWB,71,69,67,67,62,58,62,49,63,64,39,44,55,62,44,48,41,52,55,58,56,59,64,78,77,65,76,53,47,13,8,9,7,7,,3,High,Medium,Lean (185+),63,63,73,75,54,45
G. Roemeratoe,21,178,74,Right,CDM,69,73,69,71,64,63,52,50,66,62,39,49,60,65,61,61,37,51,51,64,67,59,66,71,75,69,73,57,48,14,6,11,8,11,,3,Medium,High,Normal (170-185),64,66,73,70,59,44
Areso,21,182,81,Right,RB,75,54,75,67,68,55,67,70,56,65,25,31,58,60,73,55,27,36,49,62,68,40,64,69,69,65,69,58,23,7,10,13,12,14,,2,Medium,Medium,Normal (170-185),66,61,66,72,62,30
A. Medina,23,180,74,Right,CM,77,60,70,53,66,55,53,43,56,70,58,41,54,61,53,70,55,55,68,65,73,60,52,75,71,65,58,65,49,7,11,14,5,7,,3,High,High,Normal (170-185),67,59,61,76,64,58
K. Fila,23,180,72,Right,RB,81,58,74,67,64,48,62,60,59,56,47,39,51,63,55,55,42,48,56,60,63,49,60,81,75,65,70,62,41,8,12,6,7,9,,2,High,Medium,Normal (170-185),61,61,68,81,60,47
R. Palmer,22,181,70,Right,CM,67,51,62,69,70,63,40,50,58,67,53,35,40,64,59,68,53,46,58,70,67,54,54,59,79,67,64,65,45,8,13,11,5,8,,3,Medium,High,Lean (170-185),67,60,65,63,59,53
M. Biankadi,26,181,78,Right,RM,74,62,74,71,65,58,58,58,48,71,59,38,55,48,61,58,56,41,59,61,60,62,55,84,87,62,77,60,43,12,10,13,7,12,,4,High,Medium,Normal (170-185),68,54,76,80,58,57
D. Reiter,23,173,74,Right,RM,79,33,73,79,64,57,64,51,16,66,65,57,59,25,72,58,57,54,64,63,63,70,18,75,69,22,65,66,56,7,10,14,13,11,,3,Medium,Medium,Normal (170-185),66,24,60,77,62,63
A. Czerwiński,28,181,74,Right,RB,80,44,76,66,62,61,65,62,60,64,44,43,57,60,77,53,36,36,62,61,63,46,61,83,80,63,75,63,25,8,13,11,11,12,,3,Medium,Medium,Normal (170-185),64,61,70,82,61,42
K. Kouao,23,173,65,Right,RB,73,67,72,79,62,59,61,45,59,61,33,35,48,66,73,45,31,47,53,61,56,40,69,77,68,66,62,35,28,11,12,13,11,9,,3,High,High,Normal (170-185),63,62,65,75,50,35
R. Taylor,26,182,78,Right,LW,81,70,75,62,66,63,62,63,51,73,62,58,40,47,72,60,69,56,61,59,63,75,54,77,77,56,68,62,43,8,13,8,12,10,,3,High,Medium,Normal (170-185),69,51,71,79,62,65
S. Reyes,23,174,70,Left,LM,79,61,80,72,72,62,71,68,63,65,55,48,59,60,53,61,50,58,59,60,65,65,61,77,74,63,61,57,49,12,10,15,14,10,,3,Medium,High,Lean (170-185),69,62,64,78,63,56
G. Gentile,26,184,70,Right,LW,77,35,75,53,67,65,64,77,40,68,59,60,62,51,58,52,63,67,61,65,65,67,44,77,67,45,73,67,63,12,8,12,13,6,,4,High,Medium,Lean (170-185),67,46,63,77,64,62
M. Suleymanov,21,171,66,Left,RW,73,48,80,82,69,58,65,68,28,70,67,40,43,21,48,42,68,60,66,54,64,73,34,71,52,29,41,59,65,9,14,11,12,13,,3,High,Low,Normal (170-185),70,29,46,72,59,68
H. Duljevic,27,185,82,Right,ST,74,67,73,72,72,70,56,66,44,73,61,59,59,41,73,63,61,57,66,62,69,67,30,85,66,39,77,62,61,11,11,6,15,11,,3,Medium,Low,Normal (185+),72,42,72,80,63,62
H. Traore,24,175,74,Right,CM,73,73,76,75,68,62,56,56,63,72,60,49,60,65,67,67,73,49,64,60,70,73,66,71,79,71,71,61,41,7,12,6,6,14,,3,High,High,Lean (170-185),70,66,73,72,63,64
A. Katranis,23,174,73,Left,LB,72,69,70,75,65,59,65,58,63,66,40,42,64,62,70,52,52,52,48,62,65,58,65,72,67,64,65,58,39,10,8,7,6,9,,3,Medium,Medium,Normal (170-185),66,63,67,72,60,47
T. Reijnders,22,185,73,Right,CM,77,63,79,68,70,70,64,57,62,69,59,56,55,58,69,68,64,57,56,70,70,67,55,75,73,56,63,67,51,6,10,9,14,9,,3,Medium,Medium,Lean (185+),70,58,66,76,67,61
L. Morales,30,180,72,Right,CB,64,70,62,66,59,60,56,36,68,60,32,41,69,64,64,50,30,42,48,63,59,32,69,68,70,72,65,43,27,6,15,14,9,11,,4,High,Medium,Normal (170-185),60,69,67,66,52,33
A. Manneh,23,170,61,Left,CM,67,48,80,81,69,66,65,68,57,67,59,54,54,61,79,69,69,48,55,60,71,69,60,68,72,60,55,69,34,8,15,12,9,7,,3,Medium,Medium,Lean (170-),69,59,59,68,68,61
M. Ellingsen,26,180,75,Left,CDM,55,61,70,80,67,70,64,67,66,64,56,48,58,65,71,69,66,48,61,64,68,68,62,65,74,64,73,61,56,6,9,6,7,12,,3,Medium,Medium,Normal (170-185),67,64,71,61,65,60
G. Poussin,22,184,85,Right,GK,17,21,22,46,17,51,12,13,7,13,7,11,14,10,58,22,6,16,7,57,29,48,14,25,22,12,59,24,9,68,66,64,67,66,20,2,Medium,Medium,Normal (170-185),,,,,,
J. Bursik,20,187,75,Left,GK,40,30,40,63,31,41,28,60,20,21,20,53,11,19,69,42,20,53,4,63,38,50,14,40,35,12,59,36,20,67,65,66,64,68,40,2,Medium,Medium,Normal (185+),,,,,,
E. Amenyido,23,180,75,Right,ST,83,57,70,72,67,55,57,44,43,67,66,57,61,33,83,42,52,46,67,66,62,70,39,72,76,28,73,62,54,8,9,14,12,10,,3,Medium,Medium,Normal (170-185),67,38,71,77,57,62
E. Apeh,24,183,83,Right,ST,66,35,71,64,61,52,48,54,30,65,66,36,68,17,56,38,64,62,66,67,66,70,15,73,66,16,73,55,67,8,6,7,13,13,,3,Medium,Medium,Stocky (170-185),64,26,63,70,54,66
Berrocal,21,187,72,Right,CB,60,65,61,68,59,58,31,31,67,39,24,35,67,65,76,58,37,49,33,63,63,54,66,61,67,70,71,41,34,11,12,12,11,11,,2,Low,Medium,Normal (185+),51,67,69,61,48,35
Javi Perez,25,184,74,Right,CM,43,44,37,49,67,57,43,38,65,63,62,37,63,69,71,66,67,50,65,65,69,66,59,55,75,66,73,67,34,10,11,6,11,9,,3,Medium,Medium,Lean (170-185),61,65,68,50,60,62
F. Aksoy,23,189,78,Right,CDM,35,62,57,41,67,54,39,33,70,59,41,29,65,66,52,59,33,40,41,56,68,54,72,33,71,74,74,51,32,7,11,6,13,14,,3,Medium,High,Normal (185+),60,70,70,34,54,42
C. Kelleher,22,188,74,Right,GK,41,21,42,48,14,40,13,12,18,10,6,11,13,12,68,36,8,14,4,63,32,50,14,38,19,10,54,31,9,67,63,67,64,70,40,3,Medium,Medium,Lean (185+),,,,,,
R. de la Rosa,21,179,80,Right,ST,70,32,65,70,71,59,40,40,13,59,65,39,66,11,71,50,71,72,73,57,72,66,13,70,69,14,71,46,59,13,8,13,5,8,,3,Medium,Medium,Normal (170-185),64,18,63,70,54,67
